CVE-2020-36179,jackson-databind,2.0.0-RC1-2.9.10.7,https://github.com/FasterXML/jackson-databind/commit/3ded28aece694d0df39c9f0fa1ff385b14a8656b
CVE-2020-36189,jackson-databind,2.0.0-RC1-2.9.10.7,https://github.com/FasterXML/jackson-databind/commit/33d96c13fe18a2dad01b19ce195548c9acea9da4
CVE-2020-10673,jackson-databind,2.8.11-2.8.11.6,https://github.com/FasterXML/jackson-databind/commit/1645efbd392989cf015f459a91c999e59c921b15
CVE-2020-10673,jackson-databind,2.0.0-RC1-2.7.9.6,https://github.com/FasterXML/jackson-databind/commit/1645efbd392989cf015f459a91c999e59c921b15
CVE-2020-10673,jackson-databind,2.9.10-2.9.10.3,https://github.com/FasterXML/jackson-databind/commit/1645efbd392989cf015f459a91c999e59c921b15
CVE-2020-10673,jackson-databind,2.9.0.pr1-2.9.9.3,https://github.com/FasterXML/jackson-databind/commit/1645efbd392989cf015f459a91c999e59c921b15
CVE-2020-10673,jackson-databind,2.8.0.rc1-2.8.10,https://github.com/FasterXML/jackson-databind/commit/1645efbd392989cf015f459a91c999e59c921b15
CVE-2020-14195,jackson-databind,2.0.0-RC1-2.7.9.7,https://github.com/FasterXML/jackson-databind/commit/f6d9c664f6d481703138319f6a0f1fdbddb3a259
CVE-2020-14195,jackson-databind,2.8.0.rc1-2.8.11.6,https://github.com/FasterXML/jackson-databind/commit/f6d9c664f6d481703138319f6a0f1fdbddb3a259
CVE-2020-14195,jackson-databind,2.9.0.pr1-2.9.10.4,https://github.com/FasterXML/jackson-databind/commit/f6d9c664f6d481703138319f6a0f1fdbddb3a259
CVE-2020-10672,jackson-databind,2.0.0-RC1-2.9.10.3,https://github.com/FasterXML/jackson-databind/commit/592872f4235c7f2a3280725278da55544032f72d
CVE-2020-10672,jackson-databind,2.6.7.4-2.6.7.5,https://github.com/FasterXML/jackson-databind/commit/592872f4235c7f2a3280725278da55544032f72d
CVE-2021-46877,jackson-databind,2.13.0-rc1-2.13.0,https://github.com/FasterXML/jackson-databind/commit/3ccde7d938fea547e598fdefe9a82cff37fed5cb
CVE-2021-46877,jackson-databind,2.10.0.pr1-2.12.5,https://github.com/FasterXML/jackson-databind/commit/3ccde7d938fea547e598fdefe9a82cff37fed5cb
CVE-2022-21449,Nimbus JOSE+JWT,2.7-9.21.1,https://bitbucket.org/connect2id/nimbus-jose-jwt/commits/651580526d8e815420e06abe31c0b4976c4afec9
CVE-2019-17195,Nimbus JOSE+JWT,2.9-7.8,https://bitbucket.org/connect2id/nimbus-jose-jwt/commits/e17f6412531d5fb267e3f9b4f8a6b4999dd80fc9
CVE-2017-12972,Nimbus JOSE+JWT,4.0-rc1-4.14,https://bitbucket.org/connect2id/nimbus-jose-jwt/commits/0d2bd649ea386539220d4facfe1f65eb1dadb86c
CVE-2017-12972,Nimbus JOSE+JWT,4.16-4.16,https://bitbucket.org/connect2id/nimbus-jose-jwt/commits/0d2bd649ea386539220d4facfe1f65eb1dadb86c
